0.00005    0.114  0.019  
0.00020    0.053  0.010 

0.00013    0.161  0.022
0.00050    0.082  0.015  

0.00020    0.309  0.041 
0.00050    0.151  0.017

0.00050    0.276  0.040  
0.00200    0.174  0.029  

0.00050    0.508  0.096 
0.00200    0.278  0.037  

0.00200    0.348  0.066 
0.00316    0.272  0.050
 x          y   +- dy   +- dsys

 x = MEAN(NAME=X)
 y = F2(NAME=CHARM,C=DGLAP)

 ADLOFF 01 PL B528 (2002),199
 http://www-spires.dur.ac.uk/cgi-bin/hepdata/tabkum/TABLE/10542/14/1/4
