0 4 2.30e+01, 2.90e-01, 3.00e+00, r integrated from 0 to 30.000000 

nf=5	N_CHEB=48	N_DATA=181.

    5.466e+03 (30.706), in 6.5e-01 sec
60 4 1.99e+01, 2.91e-01, 2.99e+00,     8.825e+02 (4.958), in 3.1e-02 sec
61 4 1.99e+01, 2.88e-01, 2.99e+00,     8.824e+02 (4.957), in 3.1e-02 sec
62 4 1.99e+01, 2.90e-01, 2.99e+00,     8.821e+02 (4.956), in 3.1e-02 sec
63 4 1.99e+01, 2.90e-01, 2.99e+00,     8.820e+02 (4.955), in 3.0e-02 sec
64 4 1.99e+01, 2.90e-01, 2.99e+00,     8.822e+02 (4.956), in 3.0e-02 sec
65 4 1.99e+01, 2.90e-01, 2.99e+00,     8.820e+02 (4.955), in 3.1e-02 sec
66 4 1.99e+01, 2.90e-01, 2.83e+00,     8.668e+02 (4.870), in 3.0e-02 sec
67 4 1.99e+01, 2.90e-01, 2.83e+00,     8.667e+02 (4.869), in 3.1e-02 sec
68 4 1.99e+01, 2.90e-01, 2.83e+00,     8.669e+02 (4.870), in 3.1e-02 sec
69 4 1.99e+01, 2.90e-01, 2.83e+00,     8.668e+02 (4.870), in 3.1e-02 sec
70 4 1.99e+01, 2.89e-01, 2.83e+00,     8.668e+02 (4.870), in 3.1e-02 sec
71 4 1.99e+01, 2.90e-01, 2.83e+00,     8.668e+02 (4.870), in 3.1e-02 sec
72 4 1.99e+01, 2.89e-01, 2.83e+00,     8.668e+02 (4.870), in 3.1e-02 sec
73 4 1.99e+01, 2.90e-01, 2.83e+00,     8.668e+02 (4.870), in 3.0e-02 sec
74 4 1.99e+01, 2.90e-01, 2.83e+00,     8.668e+02 (4.870), in 3.0e-02 sec
75 4 2.00e+01, 2.89e-01, 2.76e+00,     8.517e+02 (4.785), in 3.1e-02 sec
76 4 2.03e+01, 2.88e-01, 2.49e+00,     7.946e+02 (4.464), in 3.1e-02 sec
77 4 2.13e+01, 2.84e-01, 1.81e+00,     7.033e+02 (3.951), in 3.1e-02 sec
78 4 2.20e+01, 2.82e-01, 1.30e+00,     8.676e+02 (4.874), in 3.0e-02 sec
79 4 2.16e+01, 2.83e-01, 1.56e+00,     7.336e+02 (4.121), in 3.1e-02 sec
80 4 2.11e+01, 2.85e-01, 1.90e+00,     7.062e+02 (3.967), in 3.1e-02 sec
81 4 2.13e+01, 2.84e-01, 1.81e+00,     7.031e+02 (3.950), in 3.0e-02 sec
