25 	1.44e+2 	 4.2  	 8.9	-7.0 	  1.8  	 	-1.4		4.1	-3.7 	 -4.4	6.8 	 0.5	-0.5 	 0.5	0.8 	 	 1.7		 0.3  	 0.90  	  2.1  	 1.03    
26 	1.04e+2 	 2.4  	 4.0	-3.5 	  1.0  	 	 1.2		-0.9	1.5 	 -0.9	1.6 	 0.3	-0.2 	 0.1	0.3 	 	 0.7		 0.3  	 0.93  	  2.2  	 1.03    
27 	2.65e+1 	 3.1  	 7.0	-6.9 	  4.0  	 	 3.5		-3.2	3.4 	 0.1	0.1 	 0.5	-0.3 	 -0.2	0.2 	 	 0.8		 0.6  	 0.95  	  2.4  	 1.02    
28 	4.82 	 6.5  	 7.9	-8.4 	  4.8  	 	 2.6		-5.4	4.5 	 0.7	-0.1 	 0.6	-0.1 	 0.5	0.4 	 	 1.6		 0.9  	 0.96  	  2.0  	 1.03    
29 	8.38e-1 	13.5  	 12.6	-12.4 	  8.0  	 	 5.5		-4.2	4.8 	 1.1	0.7 	 0.2	-0.6 	 -0.3	0.2 	 	 3.7		 4.4  	 0.95  	  2.5  	 1.03    
30 	1.65e-1 	27.8  	 20.5	-18.7 	 10.4  	 	 7.5		-3.8	9.0 	 -2.3	3.2 	 1.9	-2.3 	 -1.0	-0.6 	 	 8.7		 8.4  	 0.95  	  1.1  	 0.96    
31 	1.16e+2 	 5.4  	 8.9	-8.3 	  0.9  	 	-0.3		3.8	-3.8 	 -6.3	7.0 	 -0.4	0.1 	 1.0	-1.0 	 	 2.4		 0.5  	 0.90  	  1.5  	 1.03    
32 	9.39e+1 	 2.7  	 5.6	-5.5 	  3.6  	 	 2.6		-0.8	1.1 	 -1.2	1.5 	 0.1	-0.3 	 0.2	-0.3 	 	 0.9		 0.2  	 0.94  	  1.8  	 1.03    
33 	2.67e+1 	 3.1  	 5.8	-5.9 	  2.3  	 	 3.3		-3.2	2.9 	 0.1	0.3 	 0.2	-0.3 	 -0.1	-0.1 	 	 0.7		 0.4  	 0.95  	  2.0  	 1.03    
34 	5.11 	 6.2  	 8.9	-9.0 	  5.6  	 	 4.8		-3.8	3.6 	 0.8	-0.4 	 0.3	-0.1 	 0.4	-0.1 	 	 1.5		 1.0  	 0.96  	  1.6  	 1.03    
35 	8.37e-1 	14.4  	 10.5	-8.1 	 -2.7  	 	-2.1		-4.7	8.0 	 0.3	-0.9 	 1.1	0.2 	 -0.3	1.8 	 	 4.3		 2.3  	 0.96  	  1.8  	 1.03    
36 	1.26e-1 	36.0  	 29.9	-29.4 	 15.5  	 	17.9		-1.1	5.3 	 2.9	-2.9 	 -2.2	0.8 	 3.3	-2.3 	 	15.3		 6.7  	 0.96  	  3.0  	 1.04    
37 	1.04e+2 	 5.2  	 7.6	-6.9 	  1.6  	 	-0.4		3.0	-3.0 	 -4.9	5.9 	 0.4	-0.4 	 0.0	0.0 	 	 1.8		 0.5  	 0.90  	  1.0  	 1.04    
38 	8.76e+1 	 2.5  	 5.3	-5.2 	  3.2  	 	 2.3		-1.4	1.6 	 -1.2	1.3 	 0.2	-0.3 	 0.1	0.2 	 	 0.7		 0.3  	 0.94  	  1.3  	 1.03    
39 	2.51e+1 	 3.1  	 6.2	-6.1 	  2.8  	 	 3.1		-3.5	3.6 	 0.0	0.3 	 0.4	-0.3 	 0.3	0.2 	 	 0.7		 0.4  	 0.96  	  1.8  	 1.02    
40 	5.09 	 6.7  	 13.2	-13.3 	  8.6  	 	 8.1		-5.0	4.6 	 0.2	-0.5 	 0.1	-0.2 	 -0.1	-0.1 	 	 2.0		 1.0  	 0.96  	  1.8  	 1.03    
41 	9.44e-1 	13.8  	 8.0	-9.7 	  1.4  	 	 3.5		-7.2	4.6 	 1.0	0.1 	 -0.6	-0.8 	 -1.2	-0.1 	 	 3.6		 2.5  	 0.95  	  2.5  	 1.04    
42 	1.09e-1 	35.2  	 29.4	-30.1 	  9.5  	 	21.1		-7.9	8.9 	 1.2	1.2 	 0.4	-2.1 	 -7.8	-2.4 	 	12.7		 8.4  	 0.97  	 -0.5  	 0.99    
43 	7.04e+1 	 5.9  	 8.9	-8.4 	  3.9  	 	-3.5		1.5	-2.2 	 -4.8	6.0 	 -0.1	-0.3 	 -1.4	0.2 	 	 2.0		 1.1  	 0.89  	  0.5  	 1.05    
44 	5.59e+1 	 3.7  	 7.2	-7.4 	  5.5  	 	 1.2		-2.1	1.7 	 -3.0	2.8 	 0.2	-0.4 	 -1.0	0.5 	 	 1.0		 0.4  	 0.95  	  0.7  	 1.03    
45 	1.81e+1 	 4.4  	 6.5	-7.2 	  4.3  	 	 2.3		-3.8	3.1 	 -2.1	0.4 	 -0.1	-0.3 	 -0.7	-0.2 	 	 1.2		 0.5  	 0.97  	  1.4  	 1.01    
46 	3.41 	 9.5  	 9.2	-8.2 	  4.3  	 	 1.9		-5.1	6.6 	 -0.9	1.5 	 0.5	-0.6 	 -1.8	1.1 	 	 2.4		 1.4  	 0.96  	  2.2  	 1.02    
47 	4.63e-1 	26.9  	 15.5	-10.7 	  4.1  	 	-1.9		-3.4	9.3 	 1.7	1.0 	 1.1	2.3 	 6.8	1.8 	 	 7.9		 2.9  	 0.96  	  1.1  	 1.05    
48 	9.99e-2 	45.8  	 25.9	-24.4 	  2.3  	 	16.9		-7.7	11.7 	 1.8	0.8 	 -1.4	-1.1 	 0.8	0.9 	 	14.4		 4.9  	 0.96  	  2.2  	 0.97     
