   10.000  0.000253  1.290911  1.237295   2.08   2.08   4.48   1.33   1.89   0.27   0.00  -0.30  -0.19  -0.10   0.66  -0.07   3.76   0.05
   10.000  0.000400  1.115027  1.099127   1.91   1.91   2.33   1.12   1.48   0.80   0.00  -0.22   0.11   0.29  -0.48   0.17   0.95  -0.02
   10.000  0.000632  1.020829  1.015949   1.77   1.77   1.93   1.19   1.28   0.37   0.00  -0.12  -0.16   0.35  -0.56  -0.06   0.18  -0.10
   10.000  0.001020  0.935424  0.933758   1.83   1.83   1.88   1.31   1.17   0.24   0.00  -0.36  -0.16   0.19  -0.36  -0.20   0.01  -0.03
   10.000  0.001610  0.851773  0.851139   2.12   2.12   2.04   1.21   1.11   1.14   0.00   0.25  -0.27   0.15   0.09   0.01   0.04  -0.11
   10.000  0.002530  0.761076  0.760866   2.04   2.04   2.36   1.77   1.08   0.86   0.00  -0.17   0.37  -0.19  -0.09   0.43   0.04  -0.36
   10.000  0.005000  0.624404  0.624404   1.12   1.12   2.91   0.77   1.06   0.76   0.00  -0.17   0.61  -0.14   0.03   0.14   0.01   2.40
   10.000  0.021000  0.502634  0.502634   1.06   1.06   6.84   1.27   1.04   0.69   0.00  -0.69   0.87  -0.17   0.06  -0.22   0.00   6.50
   12.000  0.000253  1.410067  1.321872   2.61   2.61   7.47   0.96   2.21   1.26   0.00  -0.95   0.22   0.29   0.98   0.54   6.78   0.24
   12.000  0.000400  1.217390  1.191035   2.30   2.30   2.72   0.87   1.61   0.59   0.00   0.22  -0.16  -0.06   0.13   0.26   1.87  -0.01
   12.000  0.000632  1.077680  1.069638   2.05   2.05   2.28   1.59   1.34   0.32   0.00  -0.10  -0.19   0.20  -0.56   0.49   0.32   0.15
   12.000  0.001020  0.985158  0.982582   1.96   1.96   1.93   1.09   1.20   0.75   0.00  -0.22   0.15   0.41  -0.47   0.26   0.04  -0.11
   12.000  0.001610  0.899536  0.898695   2.22   2.22   1.60   0.68   1.13   0.83   0.00  -0.24   0.13   0.17  -0.14   0.10   0.08   0.10
   12.000  0.002530  0.793544  0.793337   2.11   2.11   1.90   1.01   1.08   0.59   0.00   0.35   0.26  -0.14   0.00   0.08   0.01   0.92
   15.000  0.000253  1.559271  1.396601   2.94   2.94   7.59   1.46   2.34   0.67   0.00   0.53   0.16   0.21   2.01   0.69   6.68  -0.15
   15.000  0.000400  1.302827  1.257694   2.27   2.27   3.73   1.51   1.78   0.44   0.00  -0.33  -0.16   0.26   0.13   0.76   2.73  -0.01
   15.000  0.000632  1.150817  1.136880   1.98   1.98   2.18   0.88   1.43   1.03   0.00  -0.19  -0.07   0.27  -0.16   0.33   0.76  -0.21
   15.000  0.001020  1.059345  1.055219   1.89   1.89   1.87   1.07   1.25   0.29   0.00  -0.23  -0.29   0.33  -0.59   0.25   0.15   0.14
   15.000  0.001610  0.945139  0.943796   2.18   2.18   1.59   0.74   1.15   0.62   0.00  -0.46   0.09   0.04  -0.15   0.08   0.05  -0.10
   15.000  0.002530  0.836628  0.836217   2.12   2.12   1.65   0.94   1.10   0.56   0.00  -0.34   0.35  -0.09  -0.07   0.11   0.01  -0.25
   15.000  0.005000  0.705929  0.705929   1.52   1.52   1.46   0.77   1.06   0.27   0.00  -0.10   0.54  -0.06   0.02   0.16   0.01   0.09
   15.000  0.021000  0.519319  0.519319   1.03   1.03   6.89   1.04   1.04   0.66   0.00  -0.59   0.49  -0.15   0.08  -0.19   0.00   6.65
   18.000  0.000500  1.324623  1.283959   1.94   1.94   4.14   0.68   1.94   0.42   0.00  -0.49   0.11   0.26   0.39   0.22   3.49   0.09
   18.000  0.000800  1.169161  1.157004   2.23   2.23   2.37   0.89   1.43   1.40   0.00  -0.11  -0.07   0.28  -0.57   0.06   0.53   0.30
   18.000  0.001300  1.041476  1.038410   2.02   2.02   2.22   1.47   1.24   0.82   0.00  -0.35  -0.08   0.37  -0.39   0.32   0.09   0.14
   18.000  0.002100  0.930020  0.928985   2.28   2.28   1.61   0.87   1.15   0.16   0.00   0.02  -0.17  -0.18  -0.18   0.44   0.04  -0.46
   18.000  0.003200  0.851166  0.850743   2.44   2.44   1.84   1.01   1.10   0.86   0.00  -0.51   0.21   0.17   0.05   0.23   0.08   0.19
   18.000  0.005000  0.739317  0.739214   1.71   1.71   1.72   0.65   1.06   0.94   0.00  -0.19   0.41  -0.16   0.03  -0.06   0.01   0.55
   22.000  0.000500  1.425161  1.357247   2.55   2.55   3.95   1.22   1.99   0.47   0.00  -1.02   0.13   0.23   0.59   0.66   2.83  -0.01
