1.00000e-02	5.20216e-02
1.12202e-02	5.87450e-02
1.25893e-02	6.63235e-02
1.41254e-02	7.48583e-02
1.58489e-02	8.44612e-02
1.77828e-02	9.52570e-02
1.99526e-02	1.07386e-01
2.23872e-02	1.21005e-01
2.51189e-02	1.36294e-01
2.81838e-02	1.53453e-01
3.16228e-02	1.72705e-01
3.54813e-02	1.94293e-01
3.98107e-02	2.18478e-01
4.46684e-02	2.45526e-01
5.01187e-02	2.75698e-01
5.62341e-02	3.09235e-01
6.30957e-02	3.46343e-01
7.07946e-02	3.87171e-01
7.94328e-02	4.31793e-01
8.91251e-02	4.80191e-01
1.00000e-01	5.32233e-01
1.12202e-01	5.87643e-01
1.25893e-01	6.45967e-01
1.41254e-01	7.06515e-01
1.58489e-01	7.68285e-01
1.77828e-01	8.29885e-01
1.99526e-01	8.89462e-01
2.23872e-01	9.44693e-01
2.51189e-01	9.92872e-01
2.81838e-01	1.03116e+00
3.16228e-01	1.05696e+00
3.54813e-01	1.06844e+00
3.98107e-01	1.04902e+00
4.46684e-01	1.03436e+00
5.01187e-01	1.00664e+00
5.62341e-01	9.68757e-01
6.30957e-01	9.23472e-01
7.07946e-01	8.72521e-01
7.94328e-01	8.16112e-01
8.91251e-01	7.53228e-01
1.00000e+00	6.82822e-01
1.12202e+00	6.05251e-01
1.25893e+00	5.22982e-01
1.41254e+00	4.40067e-01
1.58489e+00	3.60918e-01
1.77828e+00	2.89179e-01
1.99526e+00	2.27112e-01
2.23872e+00	1.75480e-01
2.51189e+00	1.33817e-01
2.81838e+00	1.00895e-01
3.16228e+00	7.52180e-02
