Q2 beta x xp*sigmaD(3) dstat dsys dtot
6.5 0.9 0.00130 0.0361 15.8 7.1 17.3
8.5 0.01 0.00013 0.0346 14.2 7.9 16.3
8.5 0.01 0.00020 0.0265 9.5 10.3 14.0
8.5 0.01 0.00032 0.0306 9.5 14.5 17.4
8.5 0.01 0.00050 0.0283 13.0 24.1 27.3
8.5 0.04 0.00013 0.0175 19.8 7.0 21.0
8.5 0.04 0.00020 0.0219 11.0 4.3 11.8
8.5 0.04 0.00032 0.0295 9.1 5.3 10.5
8.5 0.04 0.00050 0.0229 9.1 6.4 11.1
8.5 0.04 0.00080 0.0234 9.1 11.2 14.4
8.5 0.04 0.00130 0.0250 11.4 18.6 21.8
8.5 0.04 0.00200 0.0235 17.0 26.3 31.3
8.5 0.1 0.00013 0.0245 21.9 10.3 24.2
8.5 0.1 0.00020 0.0243 15.0 4.8 15.8
8.5 0.1 0.00032 0.0224 13.0 4.7 13.8
8.5 0.1 0.00050 0.0212 12.9 3.8 13.4
8.5 0.1 0.00080 0.0181 11.9 5.5 13.1
8.5 0.1 0.00130 0.0244 12.5 8.3 15.0
8.5 0.2 0.00013 0.0279 23.5 8.5 25.0
8.5 0.2 0.00020 0.0276 12.3 6.0 13.7
8.5 0.2 0.00032 0.0204 12.2 4.4 13.0
8.5 0.2 0.00050 0.0226 12.3 4.6 13.1
8.5 0.2 0.00080 0.0187 11.4 4.2 12.1
8.5 0.2 0.00130 0.0196 11.0 4.9 12.0
8.5 0.4 0.00013 0.0424 23.9 8.1 25.2
8.5 0.4 0.00020 0.0497 13.7 5.3 14.6
8.5 0.4 0.00032 0.0398 12.5 6.6 14.1
8.5 0.4 0.00050 0.0372 16.7 6.0 17.8
8.5 0.4 0.00080 0.0320 11.7 3.4 12.2
8.5 0.4 0.00130 0.0294 12.7 4.0 13.3
8.5 0.4 0.00200 0.0311 15.5 4.1 16.0
8.5 0.65 0.00020 0.0532 15.0 7.6 16.8
8.5 0.65 0.00032 0.0561 12.1 9.7 15.5
8.5 0.65 0.00050 0.0399 11.6 7.2 13.6
8.5 0.65 0.00080 0.0429 10.9 4.9 12.0
8.5 0.65 0.00130 0.0411 12.2 6.0 13.6
8.5 0.65 0.00200 0.0341 16.6 7.0 18.0
8.5 0.9 0.00032 0.0459 18.0 29.2 34.3
8.5 0.9 0.00050 0.0531 14.1 22.4 26.4
8.5 0.9 0.00080 0.0406 15.6 11.4 19.3
8.5 0.9 0.00130 0.0403 15.7 10.6 19.0
8.5 0.9 0.00200 0.0334 18.6 9.6 20.9
12.0 0.01 0.00020 0.0336 12.9 10.5 16.6
12.0 0.01 0.00032 0.0399 11.2 13.6 17.6
12.0 0.01 0.00050 0.0336 13.4 23.1 26.7
12.0 0.04 0.00020 0.0352 13.3 3.4 13.7
12.0 0.04 0.00032 0.0305 10.7 4.1 11.5
12.0 0.04 0.00050 0.0369 9.5 8.0 12.4
12.0 0.04 0.00080 0.0327 10.0 9.7 13.9
12.0 0.04 0.00130 0.0285 13.2 15.9 20.7
12.0 0.04 0.00200 0.0246 19.5 21.2 28.8
12.0 0.1 0.00020 0.0169 22.4 5.4 23.0
12.0 0.1 0.00032 0.0215 16.2 4.1 16.7
12.0 0.1 0.00050 0.0224 14.5 3.7 15.0
12.0 0.1 0.00080 0.0265 13.7 5.3 14.6
12.0 0.1 0.00130 0.0304 13.5 6.4 14.9
12.0 0.1 0.00200 0.0234 18.9 10.8 21.8
12.0 0.2 0.00020 0.0423 15.2 7.4 16.9
12.0 0.2 0.00032 0.0274 14.1 5.2 15.0
12.0 0.2 0.00050 0.0317 12.5 4.1 13.1
12.0 0.2 0.00080 0.0179 14.5 4.1 15.0
12.0 0.2 0.00130 0.0175 13.4 4.1 14.0
12.0 0.2 0.00200 0.0276 12.0 6.5 13.6
12.0 0.4 0.00020 0.0351 22.2 11.1 24.8
12.0 0.4 0.00032 0.0522 13.6 7.6 15.5
12.0 0.4 0.00050 0.0353 14.6 6.8 16.1
12.0 0.4 0.00080 0.0323 14.3 4.0 14.9
