0 4 2.24e+01, 1.00e+00, 1.00e-01, 3.80e-01, 2.00e+00, 1.26e+00, 2.00e+00, r integrated from 0 to 30.000000 

nf=5	N_CHEB=16	N_DATA=277.

    3.063e+03 (11.345), in 3.1e+00 sec
1 4 2.34e+01, 1.00e+00, 1.00e-01, 3.80e-01, 2.00e+00, 1.26e+00, 2.00e+00,     2.664e+03 (9.866), in 2.7e+00 sec
2 4 2.64e+01, 1.00e+00, 1.00e-01, 3.80e-01, 2.00e+00, 1.26e+00, 2.00e+00,     2.331e+03 (8.634), in 2.7e+00 sec
3 4 3.52e+01, 1.00e+00, 1.00e-01, 3.80e-01, 2.00e+00, 1.26e+00, 2.00e+00,     6.598e+03 (24.436), in 2.7e+00 sec
4 4 2.64e+01, 1.10e+00, 1.00e-01, 3.80e-01, 2.00e+00, 1.26e+00, 2.00e+00,     2.552e+03 (9.451), in 2.7e+00 sec
5 4 2.64e+01, 1.44e+00, 1.00e-01, 3.80e-01, 2.00e+00, 1.26e+00, 2.00e+00,     3.274e+04 (121.269), in 2.7e+00 sec
6 4 2.64e+01, 1.10e+00, 1.50e-01, 3.80e-01, 2.00e+00, 1.26e+00, 2.00e+00,     3.361e+04 (124.489), in 2.7e+00 sec
7 4 2.64e+01, 1.10e+00, 8.00e-02, 3.80e-01, 2.00e+00, 1.26e+00, 2.00e+00,     2.054e+03 (7.607), in 2.8e+00 sec
8 4 2.64e+01, 1.10e+00, 2.00e-02, 3.80e-01, 2.00e+00, 1.26e+00, 2.00e+00,     2.467e+04 (91.357), in 3.8e+00 sec
9 4 2.64e+01, 1.10e+00, 8.00e-02, 3.90e-01, 2.00e+00, 1.26e+00, 2.00e+00,     2.035e+03 (7.536), in 4.5e+00 sec
10 4 2.64e+01, 1.10e+00, 8.00e-02, 4.21e-01, 2.00e+00, 1.26e+00, 2.00e+00,     1.986e+03 (7.357), in 4.4e+00 sec
11 4 2.64e+01, 1.10e+00, 8.00e-02, 5.21e-01, 2.00e+00, 1.26e+00, 2.00e+00,     1.925e+03 (7.131), in 4.5e+00 sec
12 4 2.64e+01, 1.10e+00, 8.00e-02, 8.81e-01, 2.00e+00, 1.26e+00, 2.00e+00,     2.429e+03 (8.995), in 4.4e+00 sec
13 4 2.64e+01, 1.10e+00, 8.00e-02, 5.21e-01, 2.10e+00, 1.26e+00, 2.00e+00,     2.050e+03 (7.592), in 4.5e+00 sec
14 4 2.64e+01, 1.10e+00, 8.00e-02, 5.21e-01, 2.43e+00, 1.26e+00, 2.00e+00,     2.998e+03 (11.103), in 4.6e+00 sec
15 4 3.04e+01, 1.17e+00, 7.60e-02, 4.91e-01, 2.04e+00, 1.26e+00, 2.00e+00,     3.813e+03 (14.124), in 4.5e+00 sec
16 4 2.44e+01, 1.04e+00, 9.40e-02, 4.06e-01, 2.01e+00, 1.26e+00, 2.00e+00,     1.983e+03 (7.344), in 4.5e+00 sec
17 4 2.56e+01, 1.04e+00, 7.36e-02, 5.03e-01, 2.04e+00, 1.26e+00, 2.00e+00,     5.302e+03 (19.639), in 4.4e+00 sec
18 4 2.62e+01, 1.09e+00, 9.34e-02, 4.09e-01, 2.01e+00, 1.26e+00, 2.00e+00,     1.736e+03 (6.430), in 4.5e+00 sec
19 4 2.55e+01, 1.18e+00, 7.10e-02, 5.16e-01, 2.05e+00, 1.26e+00, 2.00e+00,     1.448e+03 (5.362), in 4.4e+00 sec
20 4 2.51e+01, 1.27e+00, 5.64e-02, 5.92e-01, 2.07e+00, 1.26e+00, 2.00e+00,     1.222e+03 (4.524), in 4.4e+00 sec
21 4 2.50e+01, 1.14e+00, 8.15e-02, 6.07e-01, 2.08e+00, 1.26e+00, 2.00e+00,     1.703e+03 (6.309), in 4.4e+00 sec
22 4 2.44e+01, 1.15e+00, 8.22e-02, 4.86e-01, 1.97e+00, 1.26e+00, 2.00e+00,     1.121e+03 (4.150), in 4.4e+00 sec
23 4 2.34e+01, 1.17e+00, 8.32e-02, 4.69e-01, 1.90e+00, 1.26e+00, 2.00e+00,     8.105e+02 (3.002), in 4.0e+00 sec
24 4 2.25e+01, 1.20e+00, 8.43e-02, 4.53e-01, 1.84e+00, 1.26e+00, 2.00e+00,     6.109e+02 (2.263), in 3.3e+00 sec
25 4 2.57e+01, 1.28e+00, 6.43e-02, 6.33e-01, 1.99e+00, 1.26e+00, 2.00e+00,     1.797e+03 (6.657), in 2.7e+00 sec
26 4 2.34e+01, 1.29e+00, 7.20e-02, 5.49e-01, 1.99e+00, 1.26e+00, 2.00e+00,     1.408e+03 (5.214), in 2.8e+00 sec
27 4 2.32e+01, 1.11e+00, 9.08e-02, 4.16e-01, 2.01e+00, 1.26e+00, 2.00e+00,     1.061e+03 (3.930), in 3.1e+00 sec
28 4 2.14e+01, 1.32e+00, 6.06e-02, 6.45e-01, 1.98e+00, 1.26e+00, 2.00e+00,     7.432e+02 (2.753), in 3.1e+00 sec
29 4 2.12e+01, 1.34e+00, 6.41e-02, 4.54e-01, 1.88e+00, 1.26e+00, 2.00e+00,     5.220e+02 (1.933), in 3.2e+00 sec
30 4 1.93e+01, 1.44e+00, 5.54e-02, 3.85e-01, 1.79e+00, 1.26e+00, 2.00e+00,     1.097e+03 (4.063), in 2.8e+00 sec
31 4 2.20e+01, 1.20e+00, 7.05e-02, 4.69e-01, 1.92e+00, 1.26e+00, 2.00e+00,     1.611e+03 (5.967), in 2.8e+00 sec
32 4 2.30e+01, 1.26e+00, 7.16e-02, 5.28e-01, 1.98e+00, 1.26e+00, 2.00e+00,     8.532e+02 (3.160), in 2.7e+00 sec
33 4 1.95e+01, 1.22e+00, 9.21e-02, 4.09e-01, 1.81e+00, 1.26e+00, 2.00e+00,     6.664e+02 (2.468), in 2.8e+00 sec
34 4 1.98e+01, 1.43e+00, 5.83e-02, 5.79e-01, 1.79e+00, 1.26e+00, 2.00e+00,     7.283e+02 (2.697), in 3.1e+00 sec
35 4 1.88e+01, 1.33e+00, 7.22e-02, 4.81e-01, 1.76e+00, 1.26e+00, 2.00e+00,     1.097e+03 (4.063), in 2.8e+00 sec
36 4 2.19e+01, 1.28e+00, 7.18e-02, 5.16e-01, 1.92e+00, 1.26e+00, 2.00e+00,     6.138e+02 (2.273), in 3.1e+00 sec
37 4 2.05e+01, 1.27e+00, 8.76e-02, 3.39e-01, 1.72e+00, 1.26e+00, 2.00e+00,     4.833e+02 (1.790), in 2.8e+00 sec
38 4 2.01e+01, 1.24e+00, 1.01e-01, 2.23e-01, 1.61e+00, 1.26e+00, 2.00e+00,     6.468e+02 (2.396), in 3.1e+00 sec
39 4 2.24e+01, 1.10e+00, 1.02e-01, 3.06e-01, 1.88e+00, 1.26e+00, 2.00e+00,     7.603e+02 (2.816), in 3.3e+00 sec
40 4 2.05e+01, 1.34e+00, 6.92e-02, 5.03e-01, 1.81e+00, 1.26e+00, 2.00e+00,     5.626e+02 (2.084), in 3.5e+00 sec
41 4 2.32e+01, 1.35e+00, 5.87e-02, 4.95e-01, 1.86e+00, 1.26e+00, 2.00e+00,     5.016e+02 (1.858), in 2.9e+00 sec
42 4 2.12e+01, 1.32e+00, 7.38e-02, 3.82e-01, 1.73e+00, 1.26e+00, 2.00e+00,     5.341e+02 (1.978), in 2.8e+00 sec
43 4 2.02e+01, 1.46e+00, 5.70e-02, 4.12e-01, 1.76e+00, 1.26e+00, 2.00e+00,     6.082e+02 (2.252), in 2.9e+00 sec
44 4 2.08e+01, 1.39e+00, 6.39e-02, 4.22e-01, 1.78e+00, 1.26e+00, 2.00e+00,     4.967e+02 (1.840), in 2.7e+00 sec
45 4 2.23e+01, 1.32e+00, 7.01e-02, 3.38e-01, 1.78e+00, 1.26e+00, 2.00e+00,     4.884e+02 (1.809), in 2.9e+00 sec
46 4 2.20e+01, 1.35e+00, 6.39e-02, 4.33e-01, 1.88e+00, 1.26e+00, 2.00e+00,     4.386e+02 (1.624), in 3.0e+00 sec
47 4 2.24e+01, 1.37e+00, 5.90e-02, 4.60e-01, 1.95e+00, 1.26e+00, 2.00e+00,     5.263e+02 (1.949), in 2.5e+00 sec
