0 4 2.30e+01, 2.90e-01, 3.00e+00, 1.26e+00, 2.00e+00, 5.00e-01, 5.00e-01, r integrated from 0 to 30.000000 

nf=5	N_CHEB=16	N_DATA=387.

    1.486e+04 (39.106), in 8.7e-01 sec
37 4 2.04e+01, 2.80e-01, 2.88e+00, 1.26e+00, 2.00e+00, 4.18e-01, 4.28e-01,     2.070e+03 (5.448), in 2.4e-01 sec
38 4 1.94e+01, 2.57e-01, 2.66e+00, 1.26e+00, 2.00e+00, 3.75e-01, 4.21e-01,     2.712e+03 (7.137), in 2.4e-01 sec
39 4 1.98e+01, 2.69e-01, 2.79e+00, 1.26e+00, 2.00e+00, 4.04e-01, 4.34e-01,     2.118e+03 (5.575), in 2.4e-01 sec
40 4 2.09e+01, 2.78e-01, 2.88e+00, 1.26e+00, 2.00e+00, 4.75e-01, 4.95e-01,     2.838e+03 (7.468), in 2.4e-01 sec
41 4 1.98e+01, 2.79e-01, 2.90e+00, 1.26e+00, 2.00e+00, 4.17e-01, 4.31e-01,     2.029e+03 (5.341), in 2.4e-01 sec
42 4 2.01e+01, 2.93e-01, 2.82e+00, 1.26e+00, 2.00e+00, 4.37e-01, 3.83e-01,     2.425e+03 (6.382), in 2.8e-01 sec
43 4 2.01e+01, 2.74e-01, 2.91e+00, 1.26e+00, 2.00e+00, 4.32e-01, 4.68e-01,     1.980e+03 (5.211), in 2.5e-01 sec
44 4 2.02e+01, 2.67e-01, 2.88e+00, 1.26e+00, 2.00e+00, 4.43e-01, 4.43e-01,     2.396e+03 (6.305), in 2.4e-01 sec
45 4 2.01e+01, 2.83e-01, 2.89e+00, 1.26e+00, 2.00e+00, 4.30e-01, 4.44e-01,     1.962e+03 (5.163), in 2.4e-01 sec
46 4 2.05e+01, 2.93e-01, 3.03e+00, 1.26e+00, 2.00e+00, 4.76e-01, 4.57e-01,     2.200e+03 (5.788), in 2.4e-01 sec
47 4 2.00e+01, 2.75e-01, 2.85e+00, 1.26e+00, 2.00e+00, 4.22e-01, 4.40e-01,     1.951e+03 (5.135), in 2.4e-01 sec
48 4 1.97e+01, 2.69e-01, 2.81e+00, 1.26e+00, 2.00e+00, 3.49e-01, 4.27e-01,     1.936e+03 (5.095), in 2.3e-01 sec
49 4 1.94e+01, 2.60e-01, 2.74e+00, 1.26e+00, 2.00e+00, 2.81e-01, 4.12e-01,     2.253e+03 (5.930), in 2.3e-01 sec
50 4 1.94e+01, 2.72e-01, 2.86e+00, 1.26e+00, 2.00e+00, 4.01e-01, 4.55e-01,     2.620e+03 (6.896), in 2.4e-01 sec
51 4 2.02e+01, 2.78e-01, 2.87e+00, 1.26e+00, 2.00e+00, 4.14e-01, 4.35e-01,     1.880e+03 (4.949), in 2.4e-01 sec
52 4 2.02e+01, 2.73e-01, 2.84e+00, 1.26e+00, 2.00e+00, 4.01e-01, 4.54e-01,     2.031e+03 (5.346), in 2.4e-01 sec
53 4 1.99e+01, 2.77e-01, 2.88e+00, 1.26e+00, 2.00e+00, 4.13e-01, 4.37e-01,     1.922e+03 (5.057), in 2.6e-01 sec
54 4 1.98e+01, 2.78e-01, 2.81e+00, 1.26e+00, 2.00e+00, 3.80e-01, 4.06e-01,     1.891e+03 (4.977), in 2.5e-01 sec
55 4 1.98e+01, 2.68e-01, 2.80e+00, 1.26e+00, 2.00e+00, 3.61e-01, 4.14e-01,     1.975e+03 (5.199), in 2.4e-01 sec
56 4 2.00e+01, 2.79e-01, 2.87e+00, 1.26e+00, 2.00e+00, 4.13e-01, 4.36e-01,     1.891e+03 (4.977), in 2.4e-01 sec
57 4 1.99e+01, 2.78e-01, 2.85e+00, 1.26e+00, 2.00e+00, 3.66e-01, 4.16e-01,     1.771e+03 (4.661), in 2.4e-01 sec
58 4 1.98e+01, 2.80e-01, 2.85e+00, 1.26e+00, 2.00e+00, 3.39e-01, 4.05e-01,     1.699e+03 (4.471), in 2.3e-01 sec
59 4 1.98e+01, 2.82e-01, 2.86e+00, 1.26e+00, 2.00e+00, 3.04e-01, 3.89e-01,     1.622e+03 (4.267), in 2.3e-01 sec
60 4 2.02e+01, 2.89e-01, 2.90e+00, 1.26e+00, 2.00e+00, 4.19e-01, 4.14e-01,     1.937e+03 (5.098), in 2.4e-01 sec
61 4 1.98e+01, 2.74e-01, 2.83e+00, 1.26e+00, 2.00e+00, 3.66e-01, 4.24e-01,     1.837e+03 (4.834), in 2.4e-01 sec
