0 4 2.24e+01, 1.35e+00, 1.00e-01, 3.80e-01, 2.00e+00, r integrated from 0 to 30.000000 

nf=5	N_CHEB=16	N_DATA=181.

    4.779e+03 (27.154), in 9.8e-01 sec
46 4 2.11e+01, 1.37e+00, 6.20e-02, 3.81e-01, 1.93e+00,     3.410e+02 (1.938), in 7.3e-01 sec
47 4 2.18e+01, 1.44e+00, 5.21e-02, 5.26e-01, 1.98e+00,     4.465e+02 (2.537), in 7.3e-01 sec
48 4 2.12e+01, 1.34e+00, 7.07e-02, 3.40e-01, 1.86e+00,     3.285e+02 (1.867), in 7.3e-01 sec
49 4 2.30e+01, 1.39e+00, 5.53e-02, 4.21e-01, 1.86e+00,     3.165e+02 (1.798), in 7.4e-01 sec
50 4 2.44e+01, 1.41e+00, 4.65e-02, 4.52e-01, 1.83e+00,     3.506e+02 (1.992), in 7.4e-01 sec
51 4 2.22e+01, 1.30e+00, 6.92e-02, 3.31e-01, 1.86e+00,     3.438e+02 (1.954), in 7.3e-01 sec
52 4 2.21e+01, 1.33e+00, 6.64e-02, 3.58e-01, 1.87e+00,     3.181e+02 (1.807), in 7.3e-01 sec
53 4 2.31e+01, 1.34e+00, 6.69e-02, 3.83e-01, 1.81e+00,     3.284e+02 (1.866), in 7.3e-01 sec
54 4 2.34e+01, 1.36e+00, 6.30e-02, 2.59e-01, 1.84e+00,     3.149e+02 (1.789), in 7.3e-01 sec
55 4 2.43e+01, 1.37e+00, 6.13e-02, 1.81e-01, 1.83e+00,     3.516e+02 (1.998), in 7.3e-01 sec
56 4 2.44e+01, 1.38e+00, 5.54e-02, 3.47e-01, 1.85e+00,     3.706e+02 (2.106), in 7.4e-01 sec
57 4 2.20e+01, 1.35e+00, 6.69e-02, 3.42e-01, 1.86e+00,     3.074e+02 (1.746), in 7.3e-01 sec
58 4 2.22e+01, 1.38e+00, 5.91e-02, 2.94e-01, 1.92e+00,     3.118e+02 (1.772), in 7.3e-01 sec
59 4 2.24e+01, 1.35e+00, 6.06e-02, 3.48e-01, 1.85e+00,     3.469e+02 (1.971), in 7.2e-01 sec
60 4 2.26e+01, 1.37e+00, 6.29e-02, 3.23e-01, 1.88e+00,     3.087e+02 (1.754), in 7.3e-01 sec
61 4 2.32e+01, 1.41e+00, 5.65e-02, 2.94e-01, 1.87e+00,     3.172e+02 (1.802), in 7.3e-01 sec
62 4 2.29e+01, 1.39e+00, 5.89e-02, 3.09e-01, 1.87e+00,     3.086e+02 (1.753), in 7.3e-01 sec
63 4 2.23e+01, 1.35e+00, 6.90e-02, 2.13e-01, 1.89e+00,     3.044e+02 (1.730), in 7.3e-01 sec
64 4 2.19e+01, 1.33e+00, 7.59e-02, 1.49e-01, 1.90e+00,     3.178e+02 (1.806), in 7.3e-01 sec
65 4 2.15e+01, 1.37e+00, 6.38e-02, 3.31e-01, 1.92e+00,     3.162e+02 (1.797), in 7.3e-01 sec
66 4 2.29e+01, 1.36e+00, 6.32e-02, 2.76e-01, 1.86e+00,     3.067e+02 (1.743), in 7.4e-01 sec
67 4 2.29e+01, 1.35e+00, 6.92e-02, 2.86e-01, 1.82e+00,     3.189e+02 (1.812), in 7.3e-01 sec
68 4 2.24e+01, 1.37e+00, 6.16e-02, 2.92e-01, 1.89e+00,     3.052e+02 (1.734), in 7.3e-01 sec
69 4 2.24e+01, 1.36e+00, 6.50e-02, 2.48e-01, 1.87e+00,     3.067e+02 (1.743), in 7.4e-01 sec
70 4 2.18e+01, 1.33e+00, 7.13e-02, 2.38e-01, 1.88e+00,     3.126e+02 (1.776), in 7.5e-01 sec
71 4 2.27e+01, 1.37e+00, 6.20e-02, 2.90e-01, 1.87e+00,     3.046e+02 (1.731), in 7.4e-01 sec
72 4 2.30e+01, 1.38e+00, 6.15e-02, 1.98e-01, 1.90e+00,     3.110e+02 (1.767), in 7.4e-01 sec
73 4 2.23e+01, 1.36e+00, 6.55e-02, 3.00e-01, 1.87e+00,     3.044e+02 (1.729), in 7.3e-01 sec
74 4 2.26e+01, 1.36e+00, 6.36e-02, 2.99e-01, 1.88e+00,     3.066e+02 (1.742), in 7.4e-01 sec
75 4 2.20e+01, 1.36e+00, 6.56e-02, 2.78e-01, 1.90e+00,     3.053e+02 (1.735), in 7.4e-01 sec
76 4 2.20e+01, 1.36e+00, 6.59e-02, 2.49e-01, 1.88e+00,     3.091e+02 (1.756), in 7.3e-01 sec
77 4 2.25e+01, 1.36e+00, 6.42e-02, 2.86e-01, 1.88e+00,     3.040e+02 (1.727), in 7.3e-01 sec
78 4 2.28e+01, 1.36e+00, 6.34e-02, 2.71e-01, 1.86e+00,     3.060e+02 (1.739), in 7.3e-01 sec
79 4 2.22e+01, 1.36e+00, 6.50e-02, 2.77e-01, 1.89e+00,     3.039e+02 (1.727), in 7.3e-01 sec
80 4 2.24e+01, 1.35e+00, 6.87e-02, 2.53e-01, 1.86e+00,     3.046e+02 (1.731), in 7.4e-01 sec
81 4 2.20e+01, 1.34e+00, 7.09e-02, 2.41e-01, 1.88e+00,     3.050e+02 (1.733), in 7.3e-01 sec
82 4 2.25e+01, 1.36e+00, 6.43e-02, 2.77e-01, 1.87e+00,     3.037e+02 (1.726), in 7.3e-01 sec
83 4 2.23e+01, 1.37e+00, 6.25e-02, 2.86e-01, 1.89e+00,     3.052e+02 (1.734), in 7.4e-01 sec
84 4 2.24e+01, 1.35e+00, 6.71e-02, 2.61e-01, 1.87e+00,     3.037e+02 (1.725), in 7.3e-01 sec
85 4 2.24e+01, 1.37e+00, 6.14e-02, 3.61e-01, 1.87e+00,     3.070e+02 (1.744), in 7.4e-01 sec
86 4 2.23e+01, 1.36e+00, 6.71e-02, 2.45e-01, 1.88e+00,     3.036e+02 (1.725), in 7.3e-01 sec
87 4 2.24e+01, 1.36e+00, 6.56e-02, 2.40e-01, 1.89e+00,     3.051e+02 (1.733), in 7.3e-01 sec
88 4 2.23e+01, 1.36e+00, 6.55e-02, 2.84e-01, 1.87e+00,     3.037e+02 (1.725), in 7.3e-01 sec
89 4 2.22e+01, 1.36e+00, 6.75e-02, 2.52e-01, 1.87e+00,     3.040e+02 (1.727), in 7.4e-01 sec
90 4 2.23e+01, 1.36e+00, 6.66e-02, 2.60e-01, 1.88e+00,     3.036e+02 (1.725), in 7.3e-01 sec
91 4 2.25e+01, 1.35e+00, 6.72e-02, 2.54e-01, 1.86e+00,     3.039e+02 (1.727), in 7.4e-01 sec
92 4 2.24e+01, 1.36e+00, 6.67e-02, 2.59e-01, 1.87e+00,     3.036e+02 (1.725), in 7.3e-01 sec
93 4 2.22e+01, 1.35e+00, 6.90e-02, 2.47e-01, 1.87e+00,     3.038e+02 (1.726), in 7.3e-01 sec
94 4 2.24e+01, 1.36e+00, 6.54e-02, 2.69e-01, 1.87e+00,     3.035e+02 (1.724), in 7.4e-01 sec
95 4 2.24e+01, 1.36e+00, 6.77e-02, 2.35e-01, 1.88e+00,     3.043e+02 (1.729), in 7.3e-01 sec
96 4 2.23e+01, 1.36e+00, 6.61e-02, 2.71e-01, 1.87e+00,     3.035e+02 (1.724), in 7.3e-01 sec
97 4 2.24e+01, 1.36e+00, 6.57e-02, 2.61e-01, 1.88e+00,     3.037e+02 (1.725), in 7.3e-01 sec
98 4 2.24e+01, 1.36e+00, 6.68e-02, 2.61e-01, 1.87e+00,     3.035e+02 (1.724), in 7.3e-01 sec
99 4 2.25e+01, 1.36e+00, 6.62e-02, 2.62e-01, 1.87e+00,     3.037e+02 (1.726), in 7.3e-01 sec
100 4 2.23e+01, 1.36e+00, 6.65e-02, 2.60e-01, 1.87e+00,     3.035e+02 (1.724), in 7.4e-01 sec
101 4 2.24e+01, 1.36e+00, 6.55e-02, 2.85e-01, 1.86e+00,     3.036e+02 (1.725), in 7.3e-01 sec
102 4 2.23e+01, 1.36e+00, 6.67e-02, 2.54e-01, 1.88e+00,     3.035e+02 (1.724), in 7.3e-01 sec
103 4 2.24e+01, 1.36e+00, 6.63e-02, 2.63e-01, 1.87e+00,     3.034e+02 (1.724), in 7.4e-01 sec
104 4 2.34e+01, 1.36e+00, 6.63e-02, 2.63e-01, 1.87e+00, r integrated from 0 to 30.000000 

nf=5	N_CHEB=32	N_DATA=181.

    3.677e+02 (2.089), in 1.3e+00 sec
105 4 2.20e+01, 1.36e+00, 6.63e-02, 2.63e-01, 1.87e+00,     3.234e+02 (1.837), in 7.8e-01 sec
106 4 2.25e+01, 1.36e+00, 6.63e-02, 2.63e-01, 1.87e+00,     3.102e+02 (1.762), in 7.8e-01 sec
107 4 2.25e+01, 1.46e+00, 6.63e-02, 2.63e-01, 1.87e+00,     7.262e+02 (4.126), in 7.8e-01 sec
108 4 2.25e+01, 1.32e+00, 6.63e-02, 2.63e-01, 1.87e+00,     3.588e+02 (2.038), in 7.8e-01 sec
109 4 2.25e+01, 1.37e+00, 6.63e-02, 2.63e-01, 1.87e+00,     3.251e+02 (1.847), in 7.8e-01 sec
110 4 2.25e+01, 1.37e+00, 1.16e-01, 2.63e-01, 1.87e+00,     7.513e+03 (42.686), in 7.8e-01 sec
111 4 2.25e+01, 1.37e+00, 4.63e-02, 2.63e-01, 1.87e+00,     9.252e+02 (5.257), in 7.8e-01 sec
112 4 2.25e+01, 1.37e+00, 7.43e-02, 2.63e-01, 1.87e+00,     5.641e+02 (3.205), in 7.8e-01 sec
113 4 2.25e+01, 1.37e+00, 7.43e-02, 3.78e-01, 1.87e+00,     7.344e+02 (4.173), in 7.8e-01 sec
114 4 2.25e+01, 1.37e+00, 7.43e-02, 2.25e-01, 1.87e+00,     5.184e+02 (2.946), in 7.7e-01 sec
115 4 2.25e+01, 1.37e+00, 7.43e-02, 2.79e-01, 1.87e+00,     5.856e+02 (3.327), in 7.8e-01 sec
116 4 2.25e+01, 1.37e+00, 7.43e-02, 2.79e-01, 1.98e+00,     8.825e+02 (5.014), in 7.8e-01 sec
117 4 2.25e+01, 1.37e+00, 7.43e-02, 2.79e-01, 1.83e+00,     4.951e+02 (2.813), in 7.8e-01 sec
118 4 2.25e+01, 1.37e+00, 7.43e-02, 2.79e-01, 1.89e+00,     6.265e+02 (3.560), in 7.8e-01 sec
119 4 2.25e+01, 1.36e+00, 6.47e-02, 2.54e-01, 1.86e+00,     3.195e+02 (1.815), in 7.7e-01 sec
120 4 2.24e+01, 1.36e+00, 6.09e-02, 2.44e-01, 1.87e+00,     3.994e+02 (2.269), in 7.8e-01 sec
121 4 2.24e+01, 1.35e+00, 5.55e-02, 2.51e-01, 1.87e+00,     6.561e+02 (3.728), in 7.7e-01 sec
122 4 2.25e+01, 1.37e+00, 6.96e-02, 2.60e-01, 1.87e+00,     3.598e+02 (2.044), in 7.8e-01 sec
123 4 2.25e+01, 1.37e+00, 7.24e-02, 2.78e-01, 1.87e+00,     4.795e+02 (2.725), in 7.8e-01 sec
124 4 2.24e+01, 1.36e+00, 6.37e-02, 2.52e-01, 1.87e+00,     3.254e+02 (1.849), in 7.8e-01 sec
125 4 2.24e+01, 1.36e+00, 6.13e-02, 2.58e-01, 1.87e+00,     3.739e+02 (2.124), in 7.8e-01 sec
126 4 2.25e+01, 1.36e+00, 6.75e-02, 2.60e-01, 1.87e+00,     3.204e+02 (1.820), in 7.8e-01 sec
127 4 2.25e+01, 1.37e+00, 6.87e-02, 2.69e-01, 1.87e+00,     3.430e+02 (1.949), in 7.8e-01 sec
128 4 2.25e+01, 1.36e+00, 6.50e-02, 2.56e-01, 1.87e+00,     3.122e+02 (1.774), in 7.8e-01 sec
129 4 2.24e+01, 1.35e+00, 6.56e-02, 2.55e-01, 1.86e+00,     3.275e+02 (1.861), in 7.8e-01 sec
