0 4 2.30e+01, 2.90e-01, 3.00e+00, 1.26e+00, 2.00e+00, r integrated from 0 to 30.000000 

nf=5	N_CHEB=16	N_DATA=181.

    5.716e+03 (32.480), in 3.3e-01 sec
1 4 2.40e+01, 2.90e-01, 3.00e+00, 1.26e+00, 2.00e+00,     9.243e+03 (52.518), in 5.4e-02 sec
2 4 2.26e+01, 2.90e-01, 3.00e+00, 1.26e+00, 2.00e+00,     4.584e+03 (26.043), in 5.4e-02 sec
3 4 2.14e+01, 2.90e-01, 3.00e+00, 1.26e+00, 2.00e+00,     2.109e+03 (11.982), in 5.3e-02 sec
4 4 1.80e+01, 2.90e-01, 3.00e+00, 1.26e+00, 2.00e+00,     2.420e+03 (13.748), in 5.4e-02 sec
5 4 2.14e+01, 3.41e-01, 3.00e+00, 1.26e+00, 2.00e+00,     2.700e+03 (15.339), in 5.5e-02 sec
6 4 2.14e+01, 5.04e-01, 3.00e+00, 1.26e+00, 2.00e+00,     9.323e+03 (52.971), in 5.5e-02 sec
7 4 2.14e+01, 3.41e-01, 3.01e+00, 1.26e+00, 2.00e+00,     2.723e+03 (15.472), in 5.5e-02 sec
8 4 2.14e+01, 3.41e-01, 3.04e+00, 1.26e+00, 2.00e+00,     2.794e+03 (15.875), in 5.6e-02 sec
9 4 1.99e+01, 3.59e-01, 3.01e+00, 1.26e+00, 2.00e+00,     1.579e+03 (8.971), in 5.5e-02 sec
10 4 1.84e+01, 3.94e-01, 3.01e+00, 1.26e+00, 2.00e+00,     2.899e+03 (16.472), in 5.5e-02 sec
11 4 2.04e+01, 3.18e-01, 2.99e+00, 1.26e+00, 2.00e+00,     1.196e+03 (6.794), in 5.6e-02 sec
12 4 1.99e+01, 3.07e-01, 2.99e+00, 1.26e+00, 2.00e+00,     9.312e+02 (5.291), in 5.5e-02 sec
13 4 1.94e+01, 2.96e-01, 3.00e+00, 1.26e+00, 2.00e+00,     9.718e+02 (5.521), in 5.5e-02 sec
14 4 1.80e+01, 3.51e-01, 2.99e+00, 1.26e+00, 2.00e+00,     2.691e+03 (15.287), in 5.5e-02 sec
15 4 2.06e+01, 3.05e-01, 3.00e+00, 1.26e+00, 2.00e+00,     1.203e+03 (6.838), in 5.5e-02 sec
16 4 2.00e+01, 2.49e-01, 2.98e+00, 1.26e+00, 2.00e+00,     1.073e+03 (6.099), in 5.6e-02 sec
17 4 1.89e+01, 2.62e-01, 2.98e+00, 1.26e+00, 2.00e+00,     1.335e+03 (7.584), in 5.5e-02 sec
18 4 2.01e+01, 2.94e-01, 2.99e+00, 1.26e+00, 2.00e+00,     9.334e+02 (5.303), in 5.5e-02 sec
19 4 1.96e+01, 3.51e-01, 3.00e+00, 1.26e+00, 2.00e+00,     1.422e+03 (8.082), in 5.6e-02 sec
20 4 1.99e+01, 2.74e-01, 2.99e+00, 1.26e+00, 2.00e+00,     8.901e+02 (5.058), in 5.5e-02 sec
21 4 2.06e+01, 2.87e-01, 2.98e+00, 1.26e+00, 2.00e+00,     1.134e+03 (6.444), in 5.5e-02 sec
22 4 1.97e+01, 2.93e-01, 2.99e+00, 1.26e+00, 2.00e+00,     8.861e+02 (5.035), in 5.5e-02 sec
23 4 1.95e+01, 2.88e-01, 2.98e+00, 1.26e+00, 2.00e+00,     9.255e+02 (5.258), in 5.5e-02 sec
24 4 1.95e+01, 2.64e-01, 2.99e+00, 1.26e+00, 2.00e+00,     9.967e+02 (5.663), in 5.5e-02 sec
25 4 1.98e+01, 2.96e-01, 2.99e+00, 1.26e+00, 2.00e+00,     8.824e+02 (5.013), in 5.4e-02 sec
26 4 2.01e+01, 2.87e-01, 2.99e+00, 1.26e+00, 2.00e+00,     9.025e+02 (5.128), in 5.3e-02 sec
27 4 1.99e+01, 2.87e-01, 2.99e+00, 1.26e+00, 2.00e+00,     8.746e+02 (4.969), in 5.3e-02 sec
28 4 1.97e+01, 3.11e-01, 2.99e+00, 1.26e+00, 2.00e+00,     9.598e+02 (5.453), in 5.4e-02 sec
29 4 1.98e+01, 2.83e-01, 2.99e+00, 1.26e+00, 2.00e+00,     8.692e+02 (4.938), in 5.3e-02 sec
30 4 2.00e+01, 2.84e-01, 2.98e+00, 1.26e+00, 2.00e+00,     8.871e+02 (5.040), in 5.4e-02 sec
31 4 1.98e+01, 2.91e-01, 2.99e+00, 1.26e+00, 2.00e+00,     8.736e+02 (4.964), in 5.4e-02 sec
32 4 1.99e+01, 2.78e-01, 2.99e+00, 1.26e+00, 2.00e+00,     8.801e+02 (5.001), in 5.3e-02 sec
