0 4 2.30e+01, 2.90e-01, 3.00e+00, r integrated from 0 to 30.000000 

nf=5	N_CHEB=48	N_DATA=387.

    7.959e+04 (207.255), in 2.9e+00 sec
60 4 1.91e+01, 3.21e-01, 2.59e+00,     1.706e+03 (4.442), in 9.6e-02 sec
61 4 1.92e+01, 3.22e-01, 2.49e+00,     1.708e+03 (4.448), in 9.6e-02 sec
62 4 1.95e+01, 3.20e-01, 2.33e+00,     1.715e+03 (4.467), in 9.5e-02 sec
63 4 1.89e+01, 3.24e-01, 2.73e+00,     1.707e+03 (4.444), in 9.8e-02 sec
64 4 1.91e+01, 3.20e-01, 2.51e+00,     1.708e+03 (4.449), in 9.5e-02 sec
65 4 1.91e+01, 3.21e-01, 2.56e+00,     1.705e+03 (4.440), in 9.6e-02 sec
66 4 1.88e+01, 3.22e-01, 2.76e+00,     1.712e+03 (4.458), in 9.7e-02 sec
67 4 1.91e+01, 3.22e-01, 2.56e+00,     1.705e+03 (4.439), in 9.6e-02 sec
68 4 1.93e+01, 3.19e-01, 2.41e+00,     1.709e+03 (4.449), in 9.6e-02 sec
69 4 1.90e+01, 3.23e-01, 2.65e+00,     1.704e+03 (4.439), in 9.6e-02 sec
70 4 1.91e+01, 3.23e-01, 2.58e+00,     1.708e+03 (4.448), in 9.5e-02 sec
71 4 1.91e+01, 3.22e-01, 2.59e+00,     1.704e+03 (4.438), in 9.6e-02 sec
72 4 1.90e+01, 3.23e-01, 2.64e+00,     1.705e+03 (4.441), in 9.5e-02 sec
73 4 1.91e+01, 3.22e-01, 2.58e+00,     1.704e+03 (4.438), in 9.5e-02 sec
74 4 1.89e+01, 3.22e-01, 2.65e+00,     1.705e+03 (4.441), in 9.5e-02 sec
75 4 1.91e+01, 3.22e-01, 2.58e+00,     1.704e+03 (4.438), in 9.6e-02 sec
76 4 1.92e+01, 3.21e-01, 2.52e+00,     1.705e+03 (4.439), in 9.6e-02 sec
77 4 1.90e+01, 3.22e-01, 2.61e+00,     1.704e+03 (4.438), in 9.6e-02 sec
78 4 1.91e+01, 3.22e-01, 2.59e+00,     1.705e+03 (4.439), in 9.5e-02 sec
79 4 1.91e+01, 3.22e-01, 2.59e+00,     1.704e+03 (4.438), in 9.6e-02 sec
80 4 1.90e+01, 3.22e-01, 2.61e+00,     1.704e+03 (4.438), in 9.6e-02 sec
81 4 1.91e+01, 3.22e-01, 2.59e+00,     1.704e+03 (4.438), in 9.6e-02 sec
82 4 1.91e+01, 3.22e-01, 2.56e+00,     1.704e+03 (4.438), in 9.6e-02 sec
83 4 1.91e+01, 3.22e-01, 2.57e+00,     1.704e+03 (4.438), in 9.6e-02 sec
84 4 1.91e+01, 3.22e-01, 2.58e+00,     1.704e+03 (4.438), in 9.5e-02 sec
85 4 1.91e+01, 3.22e-01, 2.58e+00,     1.704e+03 (4.438), in 9.6e-02 sec
86 4 1.91e+01, 3.22e-01, 2.58e+00,     1.704e+03 (4.438), in 9.5e-02 sec
